Duration,
2015.63,
2016.19,
2014.69,
2028.51,
2041.97,
2039.7,
2027.36,
2032.37,
2029.92,
2039.01,
2044.33,
2008.98,
2035.74,
2036.17,
2046.9,
2023.46,
2041.21,
2031.19,
2024.04,
2040.59,
2037.62,
2008.8,
2032.49,
2030.19,
2039.43,
2038.2,
2007.02,
2006.89,
2035.44,
2034.19,
2038.18,
2037.38,
2034.27,
2038.38,
2027.13,
2043.59,
2032.13,
2016.76,
2035.72,
2027.93,
2033.42,
2027.23,
2027.33,
2031.13,
2041.22,
2034.12,
2033.85,
2043.42,
2013.45,
2041.33,
2045.95,
2032.52,
2023,
2019.57,
2043.05,
2025.36,
2036.57,
2023.88,
2039.86,
2041.2,
2043.85,
2040.5,
2040.05,
2045.51,
2019.56,
2009.34,
2007.52,
2024.32,
2032.55,
2038.01,
2019.06,
2044.34,
2038.13,
2043.19,
2026.21,
2028.09,
2020.22,
2027.8,
2016.37,
2030.61,
2030.62,
2037.91,
2025.29,
2042.54,
2030.88,
2033.95,
2035.65,
2034.41,
2039.12,
2019.38,
2034.73,
2028.79,
2031.05,
2016.97,
2042.21,
2007.27,
2029.32,
2042.8,
2027.85,
2024.09,
2039.59,
2024.53,
2032.54,
2035.75,
2034.56,
2017.39,
2023.52,
2028.55,
2035.62,
2034.94,
2027.97,
2026.63,
2028.77,
2043.77,
2034.69,
2039.05,
2046.59,
2034.93,
2030.49,
2034.86,
2035.94,
2040.98,
2027.4,
2016.22,
2011.18,
2010.94,
2025.19,
2035.11,
2007.83,
2041.39,
2037.93,
2008.99,
2029.04,
2037.21,
2041.65,
2039.02,
2024.82,
2029.04,
2028.02,
2024.66,
2037.42,
2036.5,
2020,
2026.31,
2041.98,
2033.36,
2046.9,
2038.79,
2036.95,
2041.07,
2006.96,
2020.29,
2037.25,
2007.99,
2027.96,
2025.7,
2037.33,
2029.94,
2013.19,
2008.22,
2036.65,
2025.4,
2036.06,
2038.38,
2033.18,
2007.25,
2019.75,
2023.75,
2037.04,
2043.84,
2023.75,
2044.37,
2024.98,
2042.05,
2014.96,
2027.01,
2044.25,
2037.52,
2041.88,
2037.73,
2016.6,
2006.84,
2033.25,
2013.69,
2031.81,
2008.71,
2007.4,
2036.61,
2043.27,
2025.01,
2027.23,
2029.05,
2044.52,
2007.9,
2031.64,
2042.58,
2038.53,
2026.81,
2049.32,
2041.11,
2039.05,
2042.21,
2033.53,
2033.24,
2015.95,
2033.66,
2039.86,
2037.46,
2018.73,
2036.92,
2029.19,
2043.03,
2031.43,
2039.21,
2043.85,
2033.52,
2042.19,
2031.73,
2053.53,
2032.69,
2042.06,
2025.6,
2033.41,
2028.17,
2029.36,
2020.46,
2025.17,
2037.04,
2044.63,
2031.39,
2006.73,
2043.92,
2031.26,
2027.82,
2024.17,
2037.98,
2039.86,
2028.02,
2008.54,
2043.9,
2012.59,
2039.82,
2034.66,
2044.31,
2041.64,
2037.48,
2021.07,
2035.11,
2032.08,
2022.85,
2038.71,
2029.22,
2028.85,
2030.01,
2033.71,
2033.55,
2041.03,
2025.1,
2007.92,
2025.32,
2035.29,
2024.33,
2034.11,
2015.35,
2043.67,
2012.22,
2033.49,
2027.05,
2025.94,
2042.31,
2027.48,
2037.92,
2028.03,
2025.02,
2036.21,
2025.95,
2038.65,
2008.13,
2036.07,
2029.16,
2035.63,
2025.24,
2015.86,
2024.56,
2034.68,
2027.68,
2020.74,
2037.07,
2039.46,
2010.97,
2036.18,
2033.88,
2021.03,
2024.93,
2037.22,
2032.2,
2027.58,
2030.67,
2041.7,
2043.14,
2044.17,
2030.21,
2043.18,
2029.12,
2041.29,
2042.31,
2037.54,
2041.77,
2010.65,
2054.53,
2037.33,
2041.2,
2007.19,
2034.02,
2027.2,
2029.73,
2008.33,
2041.89,
2007.65,
2033.83,
2028.63,
2030.68,
2041.05,
2041.23,
2029.39,
2021.31,
2036.29,
2039.5,
2016.44,
2032.38,
2033.85,
2024.31,
2018.59,
2048.68,
2024.79,
2024.75,
2020.88,
2012.51,
2030.83,
2030.06,
2034.13,
2037.16,
2027.81,
2037.86,
2028.01,
2033.55,
2035.59,
2035.36,
2043.78,
2007.8,
2023.61,
2026.17,
2043.09,
2011.83,
2036.54,
2015.78,
2018.59,
2043.75,
2039.23,
2031.23,
2028.27,
2034.3,
2026.73,
2041.28,
2033.27,
2022.41,
2043.44,
2034.58,
2037.32,
2044.65,
2037.23,
2043.58,
2031.49,
2036.73,
2028.01,
2030.66,
2019.29,
2010.96,
2042.91,
2037.98,
2015.21,
2032.48,
2015.93,
2034.05,
2034.73,
2010.84,
2024.16,
2035.29,
2028.26,
2026.68,
2026.84,
2031.45,
2026.94,
2011.97,
2037.17,
2033.95,
2058.27,
2012.19,
2019.08,
2036.17,
2035.05,
2029.26,
2032.07,
2024.12,
2036.9,
2053.85,
2038.6,
2010.73,
2037.3,
2027.55,
2043.91,
2042.32,
2007.44,
2019.04,
2022.6,
2031.18,
2035.98,
2028.71,
2021.39,
2040.99,
2032.69,
2015.86,
2036.19,
2011.55,
2034.9,
2007.01,
2044.3,
2040.81,
2042.18,
2026.88,
2026.69,
2048.94,
2037.64,
2019.65,
2008.09,
2034.08,
2033.2,
2043.47,
2027.93,
2041.64,
2031.38,
2037.69,
2042.09,
2033.41,
2037.96,
2030.18,
2042.26,
2026.02,
2032.88,
2027.45,
2016.89,
2028.67,
2033.67,
2016.81,
2026.59,
2033.46,
2007.11,
2033.64,
2023.44,
2037.68,
2030.83,
2042.32,
2036.4,
2036.62,
2034.89,
2041.62,
2040.01,
2009.38,
