InitDuration,119.6684
126.25,
119.87,
118.88,
122.94,
115.13,
119.7,
117.64,
120.19,
119.82,
126.28,
117.26,
123.72,
117.24,
116.03,
123.05,
123.06,
118.81,
120.03,
119.22,
116.46,
120.48,
119.07,
120.89,
117.09,
112.6,
