InitDuration,
130.29,130.9151111
129.98,
124.22,
126.35,
133.01,
126.45,
129.35,
134.07,
132.39,
128.58,
127.61,
131.31,
127.11,
129.39,
134.36,
123.02,
130.09,
136.52,
130.62,
139.15,
135.11,
129.1,
133.11,
140.6,
132.73,
131.62,
130.24,
120.91,
133.22,
129.33,
133.35,
134.46,
132.14,
124.26,
141.11,
150.55,
124.82,
127.43,
131.16,
128.6,
132.31,
127.88,
123.21,
126.91,
133.15,
