Duration,0.871687657,0.81
0.74,,
0.92,,
0.7,,
0.72,,
0.99,,
0.76,,
0.76,,
0.89,,
0.84,,
0.8,,
0.6,,
0.9,,
0.92,,
0.74,,
0.7,,
0.71,,
0.74,,
0.68,,
0.74,,
0.71,,
0.68,,
0.84,,
0.85,,
0.75,,
0.84,,
0.73,,
0.84,,
0.9,,
0.86,,
0.69,,
0.8,,
0.78,,
0.61,,
0.82,,
0.82,,
0.79,,
0.71,,
0.71,,
0.72,,
0.76,,
0.8,,
0.78,,
0.9,,
0.97,,
0.87,,
0.8,,
0.7,,
0.88,,
0.8,,
0.72,,
0.86,,
0.71,,
0.73,,
0.8,,
0.66,,
0.92,,
0.82,,
0.7,,
0.81,,
0.72,,
1.16,,
0.96,,
0.99,,
0.79,,
0.75,,
0.96,,
1.17,,
0.77,,
0.76,,
1.03,,
0.77,,
1.46,,
0.68,,
0.69,,
0.76,,
0.73,,
0.81,,
0.86,,
0.72,,
0.87,,
0.74,,
0.85,,
0.9,,
0.82,,
0.84,,
0.91,,
0.57,,
0.74,,
0.82,,
0.94,,
0.95,,
0.92,,
0.68,,
0.95,,
0.69,,
0.75,,
0.94,,
0.81,,
0.79,,
0.85,,
0.94,,
0.72,,
0.96,,
0.96,,
0.87,,
4.97,,
1.1,,
1.13,,
0.95,,
0.94,,
0.79,,
1.01,,
0.83,,
0.87,,
1.68,,
0.82,,
0.77,,
0.96,,
1.04,,
0.99,,
1.04,,
0.94,,
0.73,,
0.64,,
0.81,,
0.86,,
1.04,,
1.6,,
1.13,,
0.96,,
0.76,,
0.71,,
0.73,,
0.63,,
0.81,,
0.87,,
0.76,,
0.77,,
0.74,,
0.65,,
0.75,,
0.72,,
0.96,,
0.74,,
0.8,,
0.72,,
0.73,,
0.72,,
0.66,,
0.92,,
1.47,,
0.85,,
0.75,,
0.71,,
0.76,,
0.75,,
0.86,,
0.74,,
0.96,,
0.72,,
0.85,,
0.71,,
0.83,,
0.73,,
0.83,,
0.72,,
0.77,,
0.82,,
0.71,,
1.16,,
0.88,,
0.79,,
0.77,,
0.74,,
0.7,,
0.89,,
0.74,,
0.8,,
0.7,,
0.77,,
0.89,,
0.72,,
0.76,,
0.77,,
0.92,,
0.85,,
0.82,,
0.96,,
0.88,,
0.7,,
0.67,,
0.86,,
0.65,,
0.82,,
0.8,,
0.72,,
0.78,,
0.64,,
0.86,,
0.79,,
0.85,,
0.91,,
0.76,,
0.72,,
0.73,,
0.96,,
0.87,,
0.74,,
0.81,,
0.84,,
0.78,,
0.67,,
1,,
0.82,,
0.82,,
1,,
0.85,,
0.89,,
0.71,,
0.76,,
0.81,,
0.76,,
0.82,,
0.74,,
0.69,,
0.77,,
0.9,,
0.72,,
0.81,,
0.69,,
0.83,,
0.82,,
